,is_good_result,channel_subscribers,title_length,has_special_characters_in_title,probably_sex_words_in_title,title_longest_word_length,title_number_words,category_id,publish_time,views,likes,dislikes,comment_count,comments_disabled,ratings_disabled,channel_3_standard_deviations,channel_3_mean,channel_3_entropy,channel_2_standard_deviations,channel_2_mean,channel_2_entropy,channel_1_standard_deviations,channel_1_mean,channel_1_entropy,total_standard_deviation,total_mean,total_entropy,video_error_or_removed
4335,ViewsResult.MEDIUM,198000.0,21,False,False,5,5,10.0,2018-01-23T04:59:01.000Z,147035.0,2750.0,185.0,129.0,False,False,0.0,0.0,3.3098844520159014,0.0,0.0,5.611219645496665,0.0,0.0,2.7567401783468632,38.347591071071506,30.184691358024693,4.4450191568379935,False
4336,ViewsResult.POOR,12300000.0,46,True,False,13,7,24.0,2018-01-22T17:00:23.000Z,671078.0,24496.0,432.0,1328.0,False,False,0.9942388055538448,0.8805555555555555,5.962966042993661,1.0351798018809206,0.8083333333333333,7.610795454387617,1.1899754899436654,0.8583333333333333,6.7565819684103765,81.92059451598124,107.02200617283951,7.065276897507813,False
4337,ViewsResult.GOOD,858.0,47,False,False,9,9,25.0,2018-01-22T13:00:09.000Z,973011.0,24094.0,2492.0,4111.0,False,False,1.0553764467925388,1.075,5.556463778700062,1.6832301948601351,1.425,7.722660413330585,2.3309511649396115,1.8333333333333333,6.7425157751067495,77.79826393223394,93.75820987654319,7.150042822211815,False
4338,ViewsResult.GOOD,258.0,19,False,False,7,4,24.0,2018-01-22T15:41:38.000Z,541414.0,32635.0,2257.0,4800.0,False,False,0.0,0.0,5.440408449357438,0.0,0.0,5.905415141615692,0.0,0.0,2.3271226121760766,102.97690813892565,158.31515432098766,4.944761953419149,False
4339,ViewsResult.MEDIUM,2730000.0,48,False,False,11,6,24.0,2018-01-22T16:00:08.000Z,306322.0,8537.0,244.0,672.0,False,False,2.637267045472605,1.8805555555555555,5.370242877308295,1.9425705255958088,1.7555555555555555,7.637658728580452,3.967529279066118,2.9805555555555565,6.456074173013496,67.72691942808092,59.155462962962964,6.6873209866554495,False
4340,ViewsResult.MEDIUM,21600000.0,31,False,False,10,6,10.0,2018-01-23T04:00:00.000Z,5956757.0,959725.0,2443.0,112783.0,False,False,1.7702771457711095,1.3972222222222217,5.889153240138171,2.0316249653910043,1.5166666666666666,7.845385243741339,2.8990087173394072,2.063888888888889,6.887648532331616,85.32235976921865,94.03706790123456,7.103181455308888,False
4341,ViewsResult.POOR,6390000.0,59,False,False,10,10,17.0,2018-01-23T01:00:03.000Z,516574.0,5680.0,263.0,2063.0,False,False,2.3646052576891896,1.4444444444444444,5.612738470883835,1.769160975026172,1.3083333333333331,7.855355854545162,2.105106592415714,1.4138888888888892,6.645474704036027,81.66134103346258,78.86524691358025,6.8942807515026745,False
4342,ViewsResult.POOR,14900000.0,28,False,False,6,5,23.0,2018-01-23T00:14:28.000Z,1267551.0,107743.0,890.0,8318.0,False,False,1.4708169393693435,1.2055555555555555,6.193743412053424,1.7233329751414486,1.3111111111111111,7.880655236849247,2.2956211671810918,1.5888888888888888,6.824018979975432,84.95994381759776,99.07787037037035,7.212429449118312,False
4343,ViewsResult.GOOD,93.0,28,False,False,9,5,1.0,2018-01-23T16:30:38.000Z,82977.0,0.0,0.0,0.0,True,True,1.1589693164804709,1.1111111111111112,4.651719902484134,1.9124026643511256,1.3777777777777778,6.659031001739797,2.430261887020856,1.7777777777777777,5.8658642089600015,38.89626894228424,49.050154320987644,6.140404226708027,False
4344,ViewsResult.POOR,3880000.0,68,False,False,8,12,24.0,2018-01-23T01:00:01.000Z,29497.0,177.0,16.0,90.0,False,False,0.5939444938109916,0.5527777777777778,5.565191536915291,0.6453477864160524,0.5138888888888888,7.312036572472285,0.9171042726503787,0.7055555555555556,5.894049977684277,70.55397751218409,99.34064814814816,6.8359572771655674,False
4345,ViewsResult.GOOD,1280.0,24,False,False,7,5,10.0,2012-12-04T14:34:57.000Z,121506.0,654.0,7.0,101.0,False,False,89.00324549325904,85.825,6.644859814544161,89.61281530376482,86.26666666666668,6.807692598947092,90.5383276045681,86.71111111111111,6.402720771587832,91.96561350835907,89.61891975308642,6.751338204916136,False
4346,ViewsResult.GOOD,64900.0,58,False,False,11,9,22.0,2018-01-22T02:27:48.000Z,205567.0,2548.0,272.0,571.0,False,False,1.0282994171728508,0.7194444444444444,5.558039174762411,1.5466785400246683,1.102777777777778,7.357244097061093,1.8355857375780624,1.2583333333333333,6.651267225757429,98.53348844586931,114.76126543209877,6.866527129839108,False
4347,ViewsResult.GOOD,1240.0,33,False,False,8,5,20.0,2018-01-22T14:00:03.000Z,585961.0,12681.0,726.0,2823.0,False,False,3.50360925015587,2.3833333333333333,6.213982092589028,3.573564418661148,2.6138888888888894,7.688113628030961,4.513146092729659,3.561111111111111,6.933985214136893,89.52770596443192,96.29925925925926,7.0745927656314205,False
4348,ViewsResult.MEDIUM,2260000.0,28,False,False,8,4,24.0,2018-01-21T14:00:02.000Z,349602.0,11652.0,827.0,2041.0,False,False,1.0843869520279166,0.7277777777777777,5.635280008149103,1.3271965254942275,0.9277777777777778,7.797286623360858,1.5122544694088074,1.0444444444444445,6.359885752568421,76.96145640598168,88.71737654320988,7.016667191486971,False
4349,ViewsResult.GOOD,263.0,18,False,False,7,3,23.0,2018-01-20T17:15:48.000Z,7593087.0,382809.0,4856.0,79757.0,False,False,1.2866719439538676,1.1055555555555556,5.775606776262096,1.3993798229533283,1.2583333333333333,6.995495941462238,1.7712641088245074,1.4611111111111108,6.477316322250233,98.10642057537486,133.43154320987657,6.723454968435815,False
4350,ViewsResult.POOR,10800000.0,38,False,False,7,9,28.0,2018-01-21T18:00:46.000Z,457431.0,10125.0,2096.0,0.0,True,False,,,,,,,,,,,,,False
4351,ViewsResult.MEDIUM,13700000.0,21,True,False,11,4,23.0,2018-01-20T17:30:01.000Z,1595972.0,42618.0,3676.0,5645.0,False,False,1.3391539617733779,0.8,5.684348243344942,1.6372190174534107,1.0083333333333333,7.685177793243008,2.0108482793262,1.3305555555555555,6.499888675812893,86.90012106819337,86.375,6.818480856058248,False
4352,ViewsResult.MEDIUM,2370000.0,32,True,False,9,7,26.0,2018-01-21T09:00:00.000Z,1010762.0,49828.0,507.0,4532.0,False,False,1.0897636792182102,0.5361111111111111,5.678775232613533,0.9294520820566848,0.44722222222222224,7.338159723232311,1.257566604769743,0.5861111111111111,6.040696907962255,97.48658516079563,131.0216049382716,6.681995689798683,False
4353,ViewsResult.POOR,6090000.0,39,True,False,13,6,27.0,2018-01-20T22:00:03.000Z,330336.0,12492.0,231.0,817.0,False,False,1.5088217952682628,1.1111111111111112,5.339179467163526,1.4235670724895766,0.8888888888888888,7.231109545600375,1.9578880502429017,1.3027777777777778,5.93021171335897,87.19510316697789,72.39126543209878,6.319854417646416,False
4354,ViewsResult.POOR,612000.0,59,False,False,6,12,24.0,2018-01-22T21:04:44.000Z,2816.0,77.0,21.0,35.0,False,False,0.8101163991963831,0.3194444444444444,4.739252839035559,0.6013808698464592,0.20277777777777767,7.012293938400807,0.752644514649578,0.2638888888888889,6.0797896258531114,60.39201333848879,58.867469135802466,6.383264277254356,False
4355,ViewsResult.GOOD,73.0,23,False,False,8,3,28.0,2018-01-15T18:03:41.000Z,4253.0,29.0,0.0,4.0,False,False,1.0695562712096782,0.5777777777777777,5.535085538588248,0.7204626000179963,0.26944444444444443,7.174882545147022,0.9453427100825248,0.4722222222222222,6.241575123467329,71.06593984578171,75.99842592592594,6.616902283885361,False
4356,ViewsResult.GOOD,1610000.0,12,False,False,4,4,10.0,2018-01-19T05:00:00.000Z,4007147.0,191236.0,3682.0,22696.0,False,False,0.0,0.0,3.9575795621990486,0.0,0.0,5.598849155617,0.0,0.0,3.9868484417397885,31.659022218816386,25.917314814814816,4.9873407947794535,False
4357,ViewsResult.GOOD,65.0,26,False,False,7,5,24.0,2018-01-20T17:04:37.000Z,805722.0,29064.0,1666.0,1425.0,False,False,0.802696074273645,0.5111111111111111,6.0919389244909645,0.9814797344498778,0.5944444444444444,7.827081999518839,1.3038375220673075,0.7472222222222222,5.829886014050463,84.61021044723611,94.8926851851852,6.853169623934552,False
4358,ViewsResult.MEDIUM,1420000.0,63,False,False,10,12,25.0,2018-01-19T15:24:55.000Z,176993.0,1410.0,304.0,687.0,False,False,1.0010950794128852,0.7055555555555556,5.787886683896168,1.0064567784627316,0.7194444444444444,7.728960544303386,1.2912066086311822,0.7972222222222223,6.542378658077676,77.86920918378419,91.40623456790124,7.000530568063373,False
4359,ViewsResult.GOOD,625000.0,41,False,False,8,7,10.0,2018-01-19T05:00:01.000Z,912815.0,13357.0,541.0,604.0,False,False,1.3624143420803279,0.7777777777777778,5.333718550983608,1.0673464269213293,0.5722222222222222,7.028483097263224,2.2756748422510453,1.1361111111111108,5.860370096573981,81.5922532936238,64.10888888888888,6.247199598531383,False
4360,ViewsResult.MEDIUM,194000.0,24,False,False,11,3,22.0,2018-01-20T01:05:07.000Z,78957.0,3212.0,36.0,356.0,False,False,0.0,0.0,5.719470944248895,0.4297573245736381,0.24444444444444444,7.575075567598008,0.4297573245736381,0.24444444444444444,6.123178469065873,82.12822361029191,116.84802469135799,6.7086137261730405,False
4361,ViewsResult.GOOD,1090000.0,46,False,False,9,8,10.0,2018-01-18T21:52:00.000Z,4012204.0,147484.0,4734.0,9355.0,False,False,1.5832358644463358,1.3055555555555556,5.467548575455692,1.6119131145594945,1.2083333333333333,7.270347526014218,1.9525841535112407,1.4361111111111111,5.9262422475523575,53.99971638584905,46.33496913580247,6.497245342215133,False
4362,ViewsResult.MEDIUM,3620000.0,21,False,True,6,5,10.0,2018-01-19T05:00:02.000Z,1912665.0,99346.0,2381.0,7789.0,False,False,1.4334517608267408,1.0277777777777777,6.09550921616717,1.268261666345312,1.1388888888888888,7.386271140920013,1.9213529665894868,1.6583333333333334,6.742582191093737,64.34212491457006,81.27126543209877,7.018699459790508,False
4363,ViewsResult.GOOD,122000.0,62,False,False,7,11,10.0,2018-01-19T05:01:01.000Z,485881.0,19670.0,1659.0,4259.0,False,False,0.5438772555786853,0.14444444444444446,5.142032270126299,0.8555375178473732,0.25,5.697201694802924,1.0203333998814212,0.29444444444444445,4.748544028366093,102.77640742996564,107.27719135802471,5.417181823875822,False
4364,ViewsResult.MEDIUM,19000000.0,42,False,False,9,7,10.0,2018-01-26T14:00:05.000Z,6469935.0,356084.0,51596.0,41095.0,False,False,0.0,0.0,5.339135398717893,0.0,0.0,6.644398803359983,0.0,0.0,5.422989177323072,62.461600035572026,101.02157407407408,6.111527036974747,False
4365,ViewsResult.POOR,17500000.0,77,False,False,10,13,26.0,2018-01-26T17:48:13.000Z,1453003.0,140259.0,2677.0,35799.0,False,False,1.0616054694845471,0.9722222222222222,6.312472443731856,1.1406625754845785,0.9,7.738210377151883,1.3762087840454844,1.0222222222222221,6.520680444092175,71.13641476969583,71.4292901234568,7.039607972158373,False
4366,ViewsResult.MEDIUM,1020000.0,45,False,False,6,9,10.0,2018-01-26T05:00:02.000Z,340354.0,10087.0,274.0,384.0,False,False,1.3186576601572366,0.9944444444444444,5.915754878952278,1.3465748731091371,1.025,7.705535446225551,1.7301252363147972,1.2,6.549681022948228,64.47505167161381,72.10287037037038,6.966860903481159,False
4367,ViewsResult.POOR,1940000.0,45,False,False,8,8,1.0,2018-01-26T18:13:40.000Z,157829.0,3369.0,33.0,347.0,False,False,0.0,0.0,5.939131627243133,0.0,0.0,7.810632031978838,0.0,0.0,6.187214725478157,80.03159527187356,98.0387962962963,6.880700450256135,False
4368,ViewsResult.GOOD,1020000.0,51,False,False,6,10,10.0,2018-01-26T14:00:02.000Z,2393825.0,201936.0,2766.0,12057.0,False,False,1.047303268305064,0.7305555555555555,5.4884452544771705,1.4943411777621451,1.3166666666666669,6.701063014120117,2.1541930831534515,1.8472222222222223,6.022847965906121,55.39458834296813,79.16287037037038,6.5549080264941,False
4369,ViewsResult.POOR,8690000.0,47,False,False,6,9,25.0,2018-01-26T14:02:25.000Z,351309.0,3371.0,8766.0,8228.0,False,False,1.3767217054731824,0.9138888888888888,5.789736386947775,1.3799154563474774,1.0833333333333333,6.895698834233944,2.9478753596111336,2.1944444444444446,5.77301439013576,60.19886229075276,50.649290123456794,6.422312342125816,False
4370,ViewsResult.MEDIUM,9220000.0,69,True,False,8,12,10.0,2018-01-26T05:00:01.000Z,1610690.0,154615.0,3066.0,11460.0,False,False,0.6831244034707618,0.25277777777777777,5.103410587281566,0.6474963654028311,0.2361111111111111,6.89567167777818,0.6645278189979877,0.25833333333333336,5.483829568020923,45.81364072144449,33.852438271604946,5.9865988260864285,False
4371,ViewsResult.MEDIUM,6520000.0,70,False,False,10,10,10.0,2018-01-25T17:00:01.000Z,4648620.0,141456.0,4310.0,9847.0,False,False,1.1150485789118492,0.8,5.2382714123881104,1.3402482725595155,1.0611111111111111,6.388166424041648,1.4905463411319115,1.0777777777777775,5.826918569297162,33.97651421953031,39.981574074074075,6.075394695245142,False
4372,ViewsResult.POOR,8140000.0,97,False,False,7,18,24.0,2018-01-26T19:03:33.000Z,70420.0,1055.0,36.0,164.0,False,False,1.312308187042121,1.175,5.989161634619817,1.4211258795166948,1.3611111111111112,7.571017701917317,1.7029023880451506,1.5111111111111108,6.508740602012336,62.33243223528723,67.34447530864198,6.912807627095697,False
4373,ViewsResult.POOR,36900000.0,53,True,False,16,7,24.0,2018-01-26T14:44:32.000Z,179136.0,4605.0,271.0,269.0,False,False,0.8406346808612326,0.43333333333333335,5.843087800670404,0.960324019392529,0.5,7.387428848631723,0.9775094328741922,0.5055555555555555,6.107205112656679,84.04209824370918,111.98206790123457,6.8852933517798975,False
4374,ViewsResult.MEDIUM,6390000.0,58,False,False,10,10,17.0,2018-01-26T02:58:30.000Z,730611.0,8780.0,202.0,1057.0,False,False,0.7359748301520126,0.19722222222222224,5.8043901246967575,0.3541639433446494,0.08888888888888889,7.86543426199417,0.3634539385288028,0.1111111111111111,6.222121619111049,79.8102084302248,96.82972222222222,6.977207855893528,False
4375,ViewsResult.MEDIUM,11900000.0,19,False,False,6,4,22.0,2018-01-25T14:58:16.000Z,1854852.0,67224.0,5904.0,7449.0,False,False,0.6408845642480071,0.2305555555555556,5.836880387362991,0.6397096177655361,0.2277777777777777,7.771260105083086,1.0434836005857295,0.5055555555555555,6.313772632701151,69.46406808364091,83.47327160493828,6.8961631826449254,False
